Age,Gender,Weight (kg),Height (m),BMI,Fat_Percentage,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Frequency (days/week),Experience_Level,Water_Intake (liters),Fitness_Goal,Workout_Type,Equipment_dumbbell,Equipment_barbell,Equipment_cable,Equipment_kettlebell,Equipment_resistance_band,Equipment_stability_ball,Equipment_bodyweight_only
25.7,Female,69.5,1.71,23.82,21.6,191.2,146.9,62.2,0.89,419.5,3.4,2.0,2.8,Muscle Gain,Functional,1.0,0.0,0.0,1.0,1.0,1.0,1.0
36.4,Male,111.5,1.87,31.78,20.2,180.9,123.6,52.0,1.42,743.1,4.5,3.0,2.9,Muscle Gain,Powerlifting,1.0,1.0,1.0,1.0,0.0,0.0,0.0
45.0,Male,84.1,1.71,28.76,22.4,161.0,169.0,56.0,1.38,480.0,3.0,3.0,3.4,General Fitness,Strength,1.0,1.0,0.0,0.0,1.0,0.0,1.0
51.5,Female,59.1,1.65,21.75,22.2,167.4,162.4,49.5,0.84,597.3,2.1,2.0,3.7,Weight Loss,HIIT,0.0,0.0,0.0,1.0,0.0,0.0,1.0
34.9,Male,77.0,1.63,29.11,35.2,183.2,123.1,64.2,1.32,361.3,4.1,2.0,4.08,Flexibility,Yoga,0.0,1.0,0.0,0.0,0.0,0.0,1.0
52.0,Male,71.3,1.84,21.06,29.2,197.0,126.0,73.0,1.22,765.0,2.0,2.0,1.8,Endurance,Cardio,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27.5,Male,108.0,1.69,37.73,38.4,192.1,153.1,60.7,1.72,1232.6,1.4,1.0,3.68,Athletic Performance,Functional,,,,,,,
51.9,Female,73.4,1.68,25.96,23.0,161.2,156.2,55.7,1.37,727.6,5.7,1.0,3.1,Weight Loss,Cardio,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25.6,Female,75.3,1.61,29.19,29.1,187.8,135.0,73.7,1.1,654.6,4.0,2.0,2.4,Muscle Gain,Powerlifting,1.0,1.0,0.0,0.0,0.0,0.0,0.0
45.2,Male,60.3,1.74,19.91,20.7,168.2,144.9,65.1,1.45,654.6,3.9,2.0,2.3,General Fitness,Functional,0.0,0.0,1.0,1.0,1.0,1.0,0.0
41.6,Female,68.7,1.7,23.87,23.2,189.6,173.7,51.8,0.92,1095.8,3.4,2.0,3.6,Endurance,HIIT,1.0,0.0,0.0,0.0,0.0,0.0,1.0
52.0,Male,77.8,1.59,30.77,27.3,183.0,135.0,50.0,1.37,949.0,4.0,2.0,2.9,Weight Loss,Cardio,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51.5,Male,73.8,1.8,22.71,14.7,170.8,114.4,63.2,0.79,414.5,3.9,2.0,2.2,Strength,Strength,1.0,1.0,1.0,0.0,0.0,1.0,1.0
37.7,Male,69.5,1.74,23.04,20.2,195.4,133.7,65.6,1.43,747.7,3.8,2.0,3.0,Muscle Gain,Strength,0.0,1.0,1.0,1.0,0.0,0.0,0.0
54.0,Female,46.8,1.67,16.78,25.5,181.0,169.0,74.0,1.48,820.9,4.0,1.0,1.5,Strength,Strength,1.0,1.0,1.0,1.0,1.0,0.0,0.0
36.9,Male,80.4,1.69,28.19,19.7,185.3,112.8,72.5,1.47,510.1,4.6,2.0,2.7,Muscle Gain,Strength,1.0,1.0,1.0,0.0,1.0,0.0,1.0
40.1,Male,80.0,1.73,26.79,12.8,191.3,129.6,69.6,1.53,951.8,4.3,1.0,3.0,Muscle Gain,Strength,1.0,0.0,1.0,0.0,0.0,1.0,1.0
24.3,Male,87.6,1.86,25.31,13.9,199.0,92.5,54.7,0.76,133.6,3.8,2.0,2.0,Flexibility,Yoga,0.0,0.0,0.0,0.0,1.0,1.0,1.0
32.8,Female,63.2,1.83,18.93,20.0,182.1,143.8,74.4,1.46,639.5,2.3,1.0,3.41,Athletic Performance,Strength,,,,,,,
30.0,Female,50.8,1.81,15.51,14.5,196.0,132.0,74.0,1.28,794.0,3.0,3.0,3.2,General Fitness,Strength,1.0,1.0,1.0,1.0,0.0,0.0,1.0
40.3,Male,88.2,1.88,24.9,14.3,188.5,166.9,52.0,0.71,887.4,4.1,3.0,3.1,General Fitness,HIIT,0.0,1.0,0.0,1.0,0.0,0.0,0.0
37.3,Female,56.0,1.77,17.92,19.2,196.8,146.0,61.6,0.98,331.7,3.8,2.0,2.71,Muscle Gain,Strength,1.0,0.0,1.0,0.0,0.0,1.0,0.0
67.8,Female,78.7,1.62,29.91,27.9,161.2,121.2,74.4,1.36,514.7,4.2,3.0,2.2,Strength,Strength,1.0,1.0,1.0,0.0,0.0,1.0,1.0
33.0,Female,45.8,1.51,20.02,27.2,192.3,130.5,58.5,1.28,572.5,4.1,3.0,3.1,Muscle Gain,Functional,1.0,0.0,1.0,1.0,0.0,1.0,0.0
19.1,Female,81.2,1.66,29.46,22.1,188.8,119.3,61.1,1.87,698.0,4.1,2.0,3.0,Muscle Gain,Strength,1.0,1.0,1.0,1.0,0.0,1.0,1.0
21.0,Female,78.5,1.8,24.23,23.9,179.0,169.0,59.0,1.64,683.0,4.0,1.0,2.7,General Fitness,Strength,0.0,1.0,0.0,1.0,0.0,0.0,0.0
29.7,Female,61.8,1.5,27.67,32.0,183.4,155.9,66.9,1.07,488.9,3.9,2.0,3.77,General Fitness,Cardio,0.0,0.0,0.0,1.0,1.0,0.0,1.0
30.0,Male,120.0,1.79,37.45,24.3,187.0,141.0,51.0,2.0,1508.0,4.0,1.0,2.5,General Fitness,Strength,1.0,1.0,1.0,0.0,1.0,1.0,1.0
32.9,Male,78.7,1.84,23.28,15.2,188.6,127.9,73.2,1.39,1001.0,4.0,3.0,2.9,General Fitness,Functional,1.0,0.0,0.0,1.0,1.0,1.0,1.0
55.5,Male,82.5,1.75,26.81,11.0,153.5,148.5,47.3,1.19,1115.9,5.2,3.0,2.9,Weight Loss,Cardio,0.0,1.0,0.0,1.0,0.0,0.0,1.0
29.9,Male,55.3,1.65,20.31,12.2,182.2,158.2,53.3,1.24,944.2,6.0,3.0,3.0,Weight Loss,Cardio,1.0,0.0,0.0,1.0,0.0,0.0,1.0
16.0,Male,52.5,1.7,18.15,21.1,187.8,178.9,85.2,0.84,472.8,2.7,1.0,3.03,Weight Loss,HIIT,1.0,0.0,0.0,1.0,1.0,0.0,1.0
38.0,Female,77.4,1.54,32.64,29.0,169.0,149.0,50.0,2.0,867.0,5.0,2.0,3.6,General Fitness,Strength,1.0,1.0,1.0,0.0,0.0,1.0,1.0
50.6,Male,66.4,1.7,23.05,16.5,174.5,135.2,78.6,0.76,404.1,5.0,1.0,2.5,Strength,Strength,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34.5,Female,47.6,1.54,19.96,25.2,183.2,161.7,51.3,0.84,515.4,4.2,3.0,2.9,Weight Loss,Cardio,0.0,0.0,0.0,0.0,0.0,1.0,1.0
22.0,Female,48.6,1.72,16.43,25.4,177.0,156.0,70.0,1.39,708.0,3.0,1.0,3.4,Muscle Gain,Strength,1.0,1.0,0.0,1.0,0.0,0.0,1.0
23.7,Male,70.1,1.63,26.41,,200.4,121.6,53.8,1.77,910.1,4.5,2.0,3.0,General Fitness,Powerlifting,0.0,1.0,1.0,0.0,1.0,1.0,0.0
56.0,Female,64.2,1.79,20.04,15.9,196.0,165.0,58.0,0.97,667.0,4.0,1.0,3.3,General Fitness,Cardio,1.0,0.0,0.0,0.0,1.0,0.0,1.0
55.0,Female,94.9,1.52,41.08,27.9,196.0,120.0,73.0,2.0,1309.0,2.0,2.0,1.5,General Fitness,HIIT,0.0,0.0,0.0,0.0,1.0,1.0,0.0
52.0,Male,58.2,1.71,19.9,28.7,182.0,161.0,50.0,1.49,1364.0,3.0,2.0,3.5,Weight Loss,HIIT,0.0,1.0,0.0,1.0,0.0,0.0,1.0
28.2,Male,63.3,1.8,19.64,13.7,202.3,141.5,70.1,0.6,258.3,4.8,2.0,1.9,Athletic Performance,Functional,0.0,0.0,0.0,1.0,1.0,0.0,1.0
18.4,Female,61.2,1.56,25.19,22.4,209.4,143.3,58.5,0.61,339.3,3.5,2.0,3.4,General Fitness,Functional,1.0,0.0,1.0,0.0,1.0,0.0,1.0
20.8,Female,60.8,1.76,19.73,29.5,204.1,162.9,73.5,1.43,564.6,3.0,1.0,3.69,Strength,Strength,1.0,1.0,1.0,1.0,0.0,0.0,1.0
35.0,Male,94.6,1.69,33.12,33.1,167.0,158.0,57.0,0.75,1534.0,4.0,2.0,2.0,Muscle Gain,Strength,1.0,1.0,1.0,0.0,1.0,0.0,0.0
34.0,Female,101.5,1.57,41.18,17.7,184.0,120.0,55.0,1.02,601.0,5.0,2.0,2.3,Muscle Gain,Strength,1.0,1.0,1.0,1.0,0.0,1.0,1.0
26.9,Female,88.5,1.74,29.34,31.6,186.7,171.7,75.7,0.91,825.5,1.4,2.0,3.08,Weight Loss,HIIT,1.0,1.0,0.0,1.0,1.0,1.0,1.0
34.9,Male,68.8,1.7,23.68,16.2,173.7,112.0,62.7,0.58,94.0,4.9,2.0,2.4,Flexibility,Yoga,1.0,0.0,1.0,0.0,0.0,0.0,1.0
41.5,Male,67.3,1.78,21.27,17.7,180.4,129.0,63.7,0.93,447.5,4.7,3.0,3.2,Athletic Performance,Functional,0.0,0.0,1.0,1.0,1.0,1.0,1.0
34.6,Male,71.2,1.79,22.22,9.9,188.3,178.4,56.2,1.46,1263.7,5.3,2.0,3.4,General Fitness,Cardio,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23.8,Female,61.8,1.59,24.34,28.0,204.6,141.8,55.3,1.34,661.9,3.9,2.0,2.7,Muscle Gain,Strength,1.0,1.0,1.0,0.0,0.0,1.0,0.0
22.0,Male,55.0,1.88,15.56,16.3,176.0,131.0,74.0,2.0,1445.0,3.0,1.0,1.9,Strength,Strength,1.0,1.0,1.0,0.0,1.0,1.0,0.0
37.5,Female,51.0,1.61,19.7,15.9,181.5,154.3,50.5,0.9,608.6,3.5,1.0,3.4,Endurance,Cardio,0.0,0.0,1.0,0.0,0.0,0.0,1.0
30.9,Male,66.2,1.73,22.06,23.7,197.1,135.1,71.2,0.89,206.7,2.6,1.0,2.69,Flexibility,Yoga,0.0,0.0,0.0,0.0,0.0,1.0,1.0
27.0,Female,75.2,1.96,19.58,14.9,172.0,132.0,61.0,1.22,829.0,3.0,1.0,2.7,Endurance,HIIT,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31.1,Male,90.2,1.84,26.75,14.1,193.4,153.1,59.9,0.37,464.2,4.5,2.0,3.0,Endurance,HIIT,1.0,0.0,0.0,1.0,0.0,0.0,1.0
41.8,Female,48.3,1.7,16.66,17.1,191.1,151.2,61.0,1.32,424.8,4.5,3.0,3.61,Muscle Gain,Strength,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24.0,Male,40.0,2.0,10.0,31.9,173.0,126.0,50.0,1.1,1783.0,3.0,1.0,1.6,Endurance,Cardio,0.0,0.0,0.0,1.0,0.0,0.0,1.0
31.1,Male,72.5,1.73,24.33,17.2,189.5,151.5,66.6,1.53,1026.3,5.2,1.0,3.7,Weight Loss,Cardio,0.0,0.0,0.0,0.0,1.0,1.0,1.0
29.3,Female,69.7,1.67,25.02,14.1,197.8,158.5,58.1,1.73,1551.3,4.8,2.0,3.6,Weight Loss,Cardio,0.0,0.0,0.0,0.0,1.0,0.0,1.0
19.7,Female,55.4,1.65,20.28,17.6,210.0,94.9,78.4,0.58,79.3,3.3,2.0,1.9,General Fitness,Yoga,0.0,0.0,0.0,0.0,0.0,1.0,1.0
33.0,Female,72.9,1.58,29.2,25.9,178.0,153.0,57.0,0.94,1139.0,2.0,1.0,3.5,General Fitness,HIIT,0.0,0.0,0.0,1.0,0.0,1.0,1.0
46.0,Male,91.4,1.71,31.26,30.8,183.0,136.0,58.0,0.93,820.9,4.0,1.0,3.4,Weight Loss,Cardio,1.0,0.0,0.0,1.0,0.0,0.0,1.0
26.2,Female,59.6,1.62,22.73,23.5,203.1,158.8,45.0,1.03,783.6,2.7,2.0,3.0,Weight Loss,HIIT,0.0,1.0,0.0,1.0,0.0,0.0,1.0
44.5,Female,45.0,1.88,12.7,19.6,164.7,131.1,65.2,1.66,558.0,2.0,1.0,3.2,Weight Loss,Cardio,0.0,1.0,0.0,0.0,0.0,0.0,1.0
26.8,Female,60.7,1.67,21.81,21.6,190.6,127.4,60.1,1.07,451.5,3.3,3.0,2.6,Muscle Gain,Functional,1.0,0.0,0.0,1.0,1.0,1.0,1.0
37.9,Female,50.9,1.62,19.45,25.6,181.7,130.8,61.3,0.96,434.3,3.9,3.0,2.1,Muscle Gain,Functional,0.0,0.0,1.0,1.0,1.0,1.0,1.0
32.3,Female,51.8,1.85,15.18,21.1,181.3,139.6,70.2,1.07,374.0,2.4,2.0,3.23,General Fitness,Cardio,0.0,0.0,1.0,1.0,0.0,0.0,1.0
42.5,Female,53.5,1.66,19.36,15.3,183.4,151.7,65.4,1.11,563.7,3.4,3.0,3.6,Weight Loss,HIIT,0.0,0.0,0.0,0.0,1.0,0.0,1.0
29.0,Female,85.3,1.68,30.22,26.1,161.0,133.0,74.0,1.45,1269.0,4.0,3.0,2.5,Weight Loss,Cardio,1.0,0.0,0.0,0.0,0.0,0.0,1.0
46.4,Male,75.7,1.97,19.52,24.4,162.9,140.1,66.9,2.3,1194.4,1.7,1.0,4.04,General Fitness,Strength,,,,,,,
46.9,Female,79.2,1.61,30.56,34.1,169.8,128.1,51.6,2.29,1247.8,3.3,2.0,3.7,Strength,Powerlifting,1.0,1.0,0.0,0.0,0.0,0.0,1.0
22.9,Male,73.2,1.72,24.81,8.8,186.3,162.1,55.0,1.68,1277.1,4.4,2.0,3.4,General Fitness,Cardio,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19.3,Male,67.2,1.77,21.54,18.5,193.7,152.8,51.1,1.35,1163.6,5.9,1.0,3.1,Weight Loss,Cardio,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22.6,Male,62.3,1.71,21.22,17.3,209.8,174.9,51.0,1.7,1553.0,5.7,3.0,4.3,Weight Loss,Cardio,1.0,1.0,0.0,0.0,0.0,0.0,1.0
46.0,Male,73.0,2.0,18.25,10.0,184.0,123.0,64.0,0.9,1159.0,5.0,3.0,3.4,Weight Loss,Cardio,0.0,0.0,0.0,0.0,0.0,1.0,1.0
54.2,Female,55.9,1.58,22.33,21.3,177.3,149.6,49.3,1.12,508.7,5.2,3.0,2.7,Endurance,Cardio,0.0,0.0,0.0,1.0,0.0,0.0,1.0
31.9,Female,70.3,1.59,27.85,20.6,199.4,148.0,65.7,1.13,673.2,4.1,2.0,2.8,Muscle Gain,Functional,0.0,1.0,1.0,1.0,1.0,0.0,1.0
29.3,Male,65.7,1.68,23.3,20.0,194.8,115.5,59.0,1.56,578.0,3.8,1.0,2.7,Muscle Gain,Strength,1.0,1.0,0.0,0.0,0.0,1.0,1.0
37.2,Female,60.1,1.67,21.66,16.6,181.7,150.2,51.9,0.41,337.1,3.9,3.0,2.7,Weight Loss,HIIT,0.0,0.0,0.0,1.0,0.0,0.0,1.0
38.9,Male,78.5,1.63,29.7,33.0,176.9,147.7,80.5,1.31,735.5,2.4,1.0,4.2,Weight Loss,Cardio,0.0,0.0,1.0,0.0,0.0,0.0,1.0
43.1,Female,61.0,1.58,24.32,25.0,184.7,128.1,66.7,1.48,911.1,3.7,1.0,3.2,Muscle Gain,Functional,0.0,0.0,0.0,1.0,0.0,0.0,1.0
34.0,Male,85.0,1.81,26.06,13.9,190.2,139.2,61.6,1.92,1218.6,3.9,1.0,3.7,Strength,Strength,1.0,1.0,0.0,1.0,1.0,1.0,0.0
43.3,Female,64.3,1.61,24.86,22.1,172.9,131.2,74.4,1.32,553.4,3.2,3.0,3.0,Athletic Performance,Functional,0.0,1.0,1.0,1.0,1.0,1.0,1.0
30.2,Male,60.7,1.68,21.61,20.0,182.1,125.3,62.9,1.17,567.0,4.1,2.0,2.9,General Fitness,Functional,1.0,0.0,0.0,1.0,0.0,1.0,1.0
39.3,Female,55.3,1.57,22.46,20.1,186.2,139.0,65.4,1.33,752.6,3.5,3.0,3.0,Muscle Gain,Functional,0.0,1.0,0.0,1.0,1.0,1.0,1.0
16.0,Female,75.2,1.59,29.65,23.2,199.8,164.7,60.4,1.01,511.8,4.4,3.0,3.11,Endurance,Cardio,1.0,1.0,0.0,0.0,0.0,0.0,1.0
29.8,Male,85.1,1.77,27.26,26.8,201.6,109.4,45.0,1.33,533.0,4.6,3.0,2.7,Muscle Gain,Powerlifting,0.0,0.0,1.0,1.0,1.0,0.0,0.0
